DATE OF,SetUp,ChangedBy,Unit,RE,AR,TOWN,NAME,ID,COUNTRY,SCHEME,Phone,Fax,Address0,Address1,Address2,Address3,Address4,Address5,Postcode,Brands,Host,ISSIHost,PNO,Site,TYPE,OpenDate,CloseDate,CMODDATE,OMODDATE,NMODDATE,NSF,FLOORS,Access,GRADE,Pager,Email,Delete,NotesLive,Trading Status,Graphic Tier,Planning Tier,Linear Space,Manager Name,Manager Title,DC,MWOnly,WiFi,LP_Region,LP_Area,EurCon,TOWNSIAS,FFCostCentre,ISSO3,SmartPick,InternationalType
,,,,,,LONDON (OXFORD CIRCUS),LONDON OXFORD CIRCUS,MS0325,ENG,,,,C/o Miss Selfridge,"Ground Floor, 36-38 Great Castle Street",Oxford Circus,West End,Greater London,England,W1W 8LG,,TS0001,TS0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LONDON (OXFORD CIRCUS),OXFORD CIRCUS,TM7329,ENG,,,,,214 Oxford Street,Oxford Circus,West End,Greater London,England,W1W 8LG,,TS0001,TS0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LONDON (MARBLE ARCH),MARBLE ARCH,TM8757,ENG,,,,536-540,Oxford Street,Marylebone,West End,Greater London,England,W1C 1LS,,TS1319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LONDON (OXFORD CIRCUS),OXFORD CIRCUS,TS0001,ENG,,,,,214 Oxford Street,Oxford Circus,West End,Greater London,England,W1W 8LG,,TS0001,TS0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LONDON (CITY),CHEAPSIDE,TS0873,ENG,,,,,Unit Msu1,1 New Change,City Of London,Greater London,England,EC2V 6AH,,TS0873,TS0873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,HAYES,HAYES LOMBARDY RET PARK OUTFIT,OU0201,ENG,,,,c/o Outfit,Unit 3,Lombardy Retail Park,Hayes,Middlesex,England,UB3 3EX,,OU0201,OU0201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,MANCHESTER (FORT),MANCHESTER FORT OUTFIT,OU0149,ENG,,,,c/o Outfit,Unit 26 -27 Manchester Fort Shopping Park,Cheetham Hill Road,Manchester,Greater Manchester,England,M8 8EP,,OU0149,OU0149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LIVERPOOL (SPEKE),LIVERPOOL SPEKE OUTFIT,OU0191,ENG,,,,c/o Outfit,"Unit L3, New Mersey Shopping Park",Speke Road,Liverpool,Merseyside,England,L24 8QB,,OU0191,OU0191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LEICESTER (FOSSE PARK),FOSSE PARK OUTFIT,OU0194,ENG,,,,c/o Outfit,Unit 4,Fosse Park,Leicester,Leicester City,England,LE19 1HX,,OU0194,OU0194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,MANCHESTER (CROWN POINT),DENTON CROWN POINT OUTFIT,OU0199,ENG,,,,c/o Outfit,"Units 13 & 14, Manchester Crown Point",Denton,Manchester,Greater Manchester,England,M34 3LY,,OU0199,OU0199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LIVERPOOL,LIVERPOOL EDGE LANE OUTFIT,OU0206,ENG,,,,c/o Outfit,Liverpool Shopping Park,Edge Lane,Liverpool,Merseyside,England,L13 2EW,,OU0206,OU0206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,NEWCASTLE UPON TYNE ,NEWCASTLE UPON TYNE OUTFIT,OU0207,ENG,,,,c/o Outfit,72-76,Northumberland St.,Newcastle Upon Tyne,NEWCASTLE UPON TYNE ,England ,NE1 7DF,,OU0207,OU0207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
