Host ID,Host Lat,Host Lng,TOWN,NAME,COUNTRY,Address1,Postcode,PNO,NSF,Branch IDs,Venue ID,Venue Name,Venue Distance,Venue Address,Venue Lat,Venue Lng,Venue Category
TM7157,53.5416716023565,-2.11224577491091,OLDHAM,OLDHAM,ENG,Unit 3,OL1 1XE,1361,2200,TM7157,4b7ec528f964a52010fe2fe3,JD Sports,2522,"['16-18 Arndale Centre, Barbarolli Mall', 'Manchester', 'M4 3AB', 'United Kingdom']",53.45931779283866,-2.2428121987419445,Sporting Goods Shop
TM7782,51.520023146057504,-0.07425067734535,SHOREDITCH,SHOREDITCH,ENG,98 Commercial Street,E1 6LZ,968,1150,TM7782,4ac518f1f964a520ecad20e3,JD Sports,4555,"['197-203 Oxford Street', 'West End', 'Greater London', 'W1D 2LE', 'United Kingdom']",51.5152391,-0.1395672,Sporting Goods Shop
TS0003,51.5744922,-0.22156460000000003,BRENT CROSS,BRENT CROSS,ENG,"Unit 72, Brent Cross Shopping Centre",NW4 3FP,780,11237,"TM7218,TS0003",4ac518f1f964a520ecad20e3,JD Sports,4334,"['197-203 Oxford Street', 'West End', 'Greater London', 'W1D 2LE', 'United Kingdom']",51.5152391,-0.280536,Sporting Goods Shop
TS0014,51.4610297313941,-0.30421890382246003,RICHMOND,RICHMOND,ENG,53/54 George Street,TW9 1HJ,640,2465,"TM7561,TS0014",4c0f573a2466a5931e797a21,JD Sports,5614,"['20 Church Street', 'Kingston', 'Greater London', 'KT1 1RJ', 'United Kingdom']",51.4105961,-0.3049785,Sporting Goods Shop
TS0062,51.7514437497674,-0.33799150292311897,ST ALBANS,ST ALBANS,ENG,Unit 15,AL1 3HL,1602,4803,"TM7758,TS0062",4c39a9973849c928aaa1c1b1,JD Sports,6825,"['Hatfield Park Plaza, Comet Way (Comet Way)', 'Hatfield', 'Hertfordshire', 'AL10 0XX', 'United Kingdom']",51.749469540333045,-0.4712507128715515,Sporting Goods Shop
TS0063,52.2910216333333,-1.5347412666666698,LEAMINGTON SPA,LEAMINGTON SPA,ENG,4 Upper Mallstreet,CV32 4XT,1875,4300,"TM7193,TS0063",4d9dd22f5c33a35d530b0aa1,JD Sports,3446,['United Kingdom'],52.320816,-1.5485,Sporting Goods Shop
TS0080,49.2066455,-2.1985384387445803,ST HELIER,JERSEY,JER,40 King Street,JE2 4WE,6044,1545,"TM7182,TS0080",4c7f9c0cd51ea143b1005b9f,JD Sports,7073,"['42 King St', 'St Helier', 'JE2 4WE', 'Jersey']",49.184661719838026,-2.107298939557211,Sporting Goods Shop
TS0185,-33.6483333,150.7344444,LONDONDERRY,LONDONDERRY,NI,Unit M7,BT48 6XY,426,4735,"TM8105,TS0185",5b7f3ce50457b7002caf4c21,JD Sports,12103,"['316 Level 2 Westfield Penrith, 585 High Street', 'Penrith NSW 2750', 'Australia']",-33.7516623,150.6937806,Sporting Goods Shop
TS0191,53.488484923474104,-2.09424579486343,ASHTON UNDER LYNE,ASHTON UNDER LYNE,ENG,51 Warrington Street,OL6 7JG,1540,1998,"TM7262,TS0191",4b7ec528f964a52010fe2fe3,JD Sports,6809,"['16-18 Arndale Centre, Barbarolli Mall', 'Manchester', 'M4 3AB', 'United Kingdom']",53.41021820947648,-2.2428121987419445,Sporting Goods Shop
TS0309,51.4666151,-0.0968000068121059,CANARY WHARF,CANARY WHARF,ENG,Topshop Unit 3 Canada Square,E14 5AB,497,2183,"TM8634,TS0309",4ac518f1f964a520ecad20e3,JD Sports,6171,"['197-203 Oxford Street', 'West End', 'Greater London', 'W1D 2LE', 'United Kingdom']",51.428388,-0.167446,Sporting Goods Shop
TS0451,53.393269,-6.389946900000001,Z EIRE BLANCHARDSTOWN,BLANCHARDSTOWN,EIR,Unit 221,D15RF61,22,4384,"TM7654,TS0451",4b5346b9f964a520679527e3,JD Sports,9607,"['43-44 Mary Street', 'Dublin', 'Dublin City', 'Ireland']",53.28713049037214,-6.371030559109273,Sporting Goods Shop
TS0453,53.2892637,-9.01828611815232,Z EIRE GALWAY,GALWAY,EIR,Unit 9/10/11 Edward Square,H91 RKT0,469,2300,"TM7099,TS0453",53c2b61d498e354934044791,JD Sports,2725,"['Unit 128, Eyre Square Shopping Centre, Eyre Square', 'Galway', 'Co Galway', 'Ireland']",53.273357999999995,-9.0494109,Sporting Goods Shop
TS0647,53.5520279547262,-1.4798793889259898,BARNSLEY,BARNSLEY,ENG,20/22 Cheapside,S70 1RR,4708,3142,"TM7869,TS0647",5a8ecffc12138435918ff083,JD Sports,7708,"['Cortonwood Retail Park', 'Barnsley', 'S73 0UF', 'United Kingdom']",53.51025364452402,-1.3869589533729825,Sporting Goods Shop
TS0656,50.852898242245104,-1.1780463730108302,FAREHAM,FAREHAM,ENG,"Unit 21, 13 Westbury Mall",PO16 0PE,4771,2200,"TM7946,TS0656",4e4cee9422717c65aca204e0,JD Sports,6028,"['222-224 Commercial Road', 'Portsmouth', 'Hampshire', 'PO1 1HG', 'United Kingdom']",50.80153509681171,-1.246531,Sporting Goods Shop
TS0750,-33.7946398,150.98134230000002,CRAIGAVON,CRAIGAVON,NI,"Unit C, Rushmere Shopping Centre",BT64 1AA,628,3100,"TM7359,TS0750",5aee782823a2e6002ccdc016,JD Sports,3243,"['Parramatta NSW 2150', 'Australia']",-33.817489,151.003108,Sporting Goods Shop
TS0768,51.67193505,-0.0332490756229035,ENFIELD,ENFIELD,ENG,12 Hutton Walk,EN2 6BH,717,4605,"TM7378,TS0768",4c712724d7fab1f7db6b60c9,JD Sports,4074,"['22 North Mall', 'Edmonton', 'Greater London', 'N9 0EQ', 'United Kingdom']",51.567386579584216,-0.10692239999999999,Sporting Goods Shop
TS0864,51.5304006,-3.2510664,CARDIFF,CARDIFF,WAL,Unit 1 Andrews Buildings,CF10 2AS,699,19487,"TM7491,TS0864",4bfa80a85efe2d7ff6a96d34,JD Sports,5648,"['1A Cardiff Bay Retail Park (Cardiff Bay)', 'Cardiff', 'CF11 0JR', 'United Kingdom']",51.45696519018271,-3.3801094,Sporting Goods Shop
TS0873,51.5140982676524,-0.0949137630593093,LONDON (CITY),CHEAPSIDE,ENG,Unit Msu1,EC2V 6AH,820,10300,"TM7580,TS0873",4ac518f1f964a520ecad20e3,JD Sports,3095,"['197-203 Oxford Street', 'West End', 'Greater London', 'W1D 2LE', 'United Kingdom']",51.5152391,-0.1395672,Sporting Goods Shop
TS0874,51.507417385242704,-0.221360685945052,LONDON (WHITE CITY),WHITE CITY,ENG,2039-2041,W12 7GE,798,18581,"TM7588,TS0874",4ac518f1f964a520ecad20e3,JD Sports,5733,"['197-203 Oxford Street', 'West End', 'Greater London', 'W1D 2LE', 'United Kingdom']",51.428388,-0.280536,Sporting Goods Shop
TS0934,53.43022975,-7.89766989616603,Z EIRE ATHLONE,ATHLONE,EIR,Unit 36,N37 NN28,850,2200,TS0934,4dd3e83e45dd98b61e772c6f,JD Sports,2651,"['Unit 52 Athlone Town Centre', 'Athlone', 'Co Westmeath', 'Ireland']",53.42355500000001,-7.9360473,Sporting Goods Shop
TS1041,54.15373100000001,-4.5361958,DOUGLAS (IOM),DOUGLAS IOM,IOM,32/36 Strand Centre,IM1 2ER,976,3012,"TM7872,TS1041",5a8ecffd51950e7c14d44094,JD Sports,3711,"['62-66 Strand Street', 'Douglas', 'IM1 2LY', 'Isle of Man']",54.1521145,-4.4793224,Sporting Goods Shop
TS1054,51.4997736386709,-0.164214811164383,LONDON (KNIGHTSBRIDGE),KNIGHTSBRIDGE,ENG,70 Brompton Road,SW3 1ER,910,10190,"TM7014,TS1054",4ac518f1f964a520ecad20e3,JD Sports,2424,"['197-203 Oxford Street', 'West End', 'Greater London', 'W1D 2LE', 'United Kingdom']",51.428388,-0.167446,Sporting Goods Shop
TS1055,50.836318,-0.7781004142857142,CHICHESTER,CHICHESTER,ENG,89-91 East Street,PO19 1HA,936,4198,"TM7069,TS1055",4ede4d065c5c96a202d6d0b8,JD Sports,9417,"['13 London Road', 'Bognor Regis', 'West Sussex', 'PO21 1PQ', 'United Kingdom']",50.78401411394586,-0.6728678876493177,Sporting Goods Shop
TS1081,51.45488658,-0.19292479999999998,WANDSWORTH,WANDSWORTH,ENG,"Unit 42/44, High Street",SW18 4TF,947,3000,TS1081,4ac518f1f964a520ecad20e3,JD Sports,3438,"['197-203 Oxford Street', 'West End', 'Greater London', 'W1D 2LE', 'United Kingdom']",51.4105961,-0.3049785,Sporting Goods Shop
TS1082,57.478812600000005,-4.2205434,INVERNESS,INVERNESS,SCO,"Units 63, 64 & 65 Eastgate Shopping Centre",IV2 3PP,966,4500,"TM7217,TS1082",4faa5ccfe4b0387cf18e8795,JD Sports,2608,"['Unit 6A Inverness Retail Park', 'Inverness', 'Highland', 'IV2 7GD', 'United Kingdom']",57.48104490516315,-4.1771483472214195,Sporting Goods Shop
TS1090,51.543630683333305,-0.0072226,STRATFORD (WESTFIELD),STRATFORD WESTFIELD,ENG,"Su 2016, 223-224 The Arcade",E20 1EQ,964,19500,"TM7428,TS1090",4ac518f1f964a520ecad20e3,JD Sports,4534,"['197-203 Oxford Street', 'West End', 'Greater London', 'W1D 2LE', 'United Kingdom']",51.5152391,-0.1395672,Sporting Goods Shop
TS1274,51.522913232647,-0.721018695787853,MAIDENHEAD,MAIDENHEAD,ENG,45-49 Nicholson Shopping Centre,SL6 1PY,973,2750,"TM8114,TS1274",4ca86cac76d3a093288c156b,JD Sports,8997,"['12A Peascod St', 'Windsor', 'Berkshire', 'SL4 1DU', 'United Kingdom']",51.48269510596993,-0.7540547847747803,Sporting Goods Shop
TS3105,51.4895589,6.885919599999999,Z GERMANY OBERHAUSEN R,CENTRO OBERHAUSEN,DE,Centroallee 118/119,46047,3505,8900,"TM8667,TS3105",56152356498ecc7410c60e0c,JD Sports,9019,"['Limbecker Platz 1a', '45127 Essen', 'Deutschland']",51.45840581989808,7.006005048751831,Sporting Goods Shop
TS3129,52.52027755,13.404729622302899,Z GERMANY BERLIN R,BERLIN KAUFHOF,DE,Galeria Kaufhof,10178,3508,9759,"TM8721,TS3129",5a8eced8f8cbd46ab8856e2c,JD Sports,8348,"['Schlossstraße 117', '12163 Berlin', 'Deutschland']",52.46236942932585,13.326460272073744,Sporting Goods Shop
TS3190,-33.892378825,151.2506208,Z AUSTRALIA SYDNEY R,BONDI JUNCTION SYDNEY,AU,500 Oxford Street,NSW 2022,3400,8923,"TM8762,TS3190",5c00cb9eff0306002cc12b7d,JD Sports,4700,"['Shop T4, 189 Sydney Arcade,  Pitt Street Mall  2000', 'Sydney NSW 2000', 'Australia']",-33.869225,151.2080901,Sporting Goods Shop
