Week,Week52,Absweek,ATOT
11601,1,1097,2058742.00
11602,2,1098,2137032.00
11603,3,1099,2091600.00
11604,4,1100,2113289.00
11605,5,1101,2024495.00
11606,6,1102,2057620.00
11607,7,1103,1979701.00
11608,8,1104,2252395.00
11609,9,1105,1987626.00
11610,10,1106,1854520.00
11611,11,1107,1875871.00
11612,12,1108,2231413.00
11613,13,1109,2159546.00
11614,14,1110,2297094.00
11615,15,1111,2167234.00
11616,16,1112,2328629.00
11617,17,1113,2501865.00
11618,18,1114,1626040.00
11619,19,1115,1301181.00
11620,20,1116,1423178.00
11621,21,1117,1648285.00
11622,22,1118,1659920.00
11623,23,1119,1524989.00
11624,24,1120,1805704.00
11625,25,1121,1724111.00
11626,26,1122,1675227.00
11627,27,1123,1600484.00
11628,28,1124,1687592.00
11629,29,1125,1609310.00
11630,30,1126,1782816.00
11631,31,1127,2122821.00
11632,32,1128,2166533.00
11633,33,1129,1580832.00
11634,34,1130,1801993.00
11635,35,1131,1690485.00
11636,36,1132,1648895.00
11637,37,1133,1714424.00
11638,38,1134,1856146.00
11639,39,1135,1950105.00
11640,40,1136,1515701.00
11641,41,1137,1638178.00
11642,42,1138,1806452.00
11643,43,1139,2040431.00
11644,44,1140,1992572.00
11645,45,1141,2014345.00
11646,46,1142,1918767.00
11647,47,1143,2038957.00
11648,48,1144,2038221.00
11649,49,1145,1909576.00
11650,50,1146,1853678.00
11651,51,1147,1974534.00
11652,52,1148,2034137.00
11701,1,1149,1910207.00
11702,2,1150,1883026.00
11703,3,1151,1838635.00
11704,4,1152,1864666.00
11705,5,1153,1925062.00
11706,6,1154,1700266.00
11707,7,1155,1634622.00
11708,8,1156,1953176.00
11709,9,1157,1770182.00
11710,10,1158,1642206.00
11711,11,1159,1602284.00
11712,12,1160,1802777.00
11713,13,1161,1933715.00
11714,14,1162,1967779.00
11715,15,1163,1860069.00
11716,16,1164,2112229.00
11717,17,1165,1916306.00
11718,18,1166,1460029.00
11719,19,1167,1176008.00
11720,20,1168,1215799.00
11721,21,1169,1345202.00
11722,22,1170,1327255.00
11723,23,1171,1196633.00
11724,24,1172,1582341.00
11725,25,1173,1421278.00
11726,26,1174,1224322.00
11727,27,1175,1365766.00
11728,28,1176,1352991.00
11729,29,1177,1312916.00
11730,30,1178,1530846.00
11731,31,1179,1552270.00
11732,32,1180,1616511.00
11733,33,1181,1499846.00
11734,34,1182,1530837.00
11735,35,1183,1513725.00
11736,36,1184,1445303.00
11737,37,1185,1307025.00
11738,38,1186,1458832.00
11739,39,1187,1548971.00
11740,40,1188,1317628.00
11741,41,1189,1504975.00
11742,42,1190,1570584.00
11743,43,1191,1633030.00
11744,44,1192,1709030.00
11745,45,1193,1563267.00
11746,46,1194,1547737.00
11747,47,1195,1627002.00
11748,48,1196,1621273.00
11749,49,1197,1505012.00
11750,50,1198,1523476.00
11751,51,1199,1743396.00
11752,52,1200,1647487.00
11801,1,1201,1490550.00
11802,2,1202,1528003.00
11803,3,1203,1564759.00
11804,4,1204,1671712.00
11805,5,1205,1585161.00
11806,6,1206,1455603.00
11807,7,1207,1360464.00
11808,8,1208,1631629.00
11809,9,1209,1619299.00
11810,10,1210,1280250.00
11811,11,1211,1306375.00
11812,12,1212,1730977.00
11813,13,1213,1549903.00
11814,14,1214,1747518.00
11815,15,1215,1590721.00
11816,16,1216,1838404.00
11817,17,1217,1591336.00
11818,18,1218,1545972.00
11819,19,1219,957007.00
11820,20,1220,1007554.00
11821,21,1221,1152790.00
11822,22,1222,1074278.00
11823,23,1223,1115275.00
11824,24,1224,1116506.00
11825,25,1225,1440376.00
11826,26,1226,1269386.00
11827,27,1227,1236721.00
11828,28,1228,1218578.00
11829,29,1229,1171185.00
11830,30,1230,1293224.00
11831,31,1231,1292392.00
11832,32,1232,1418960.00
11833,33,1233,1458202.00
11834,34,1234,1175941.00
11835,35,1235,1270730.00
11836,36,1236,1067917.00
11837,37,1237,1116510.00
11838,38,1238,1169749.00
11839,39,1239,1433901.00
